Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
97c78822ddeccafd79b1b480691afcbd33eed2805cbedeeb60570ef24a0bf54d,2021-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
32a730ed9d8a828a840a1bbdbf8d1984d5eb9fcde297a0af0b8e5ab235239b27,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.124966,51.570295,On or near HICKMAN ROAD,E01003661,Redbridge 019A,Investigation complete; no suspect identified
44ddb96cdf28fdaf5fd7d6e0d7d6d487ad28135f08e016074871a565a4217179,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.127557,51.569241,On or near BIRCHDALE GARDENS,E01003662,Redbridge 019B,Investigation complete; no suspect identified
44ddb96cdf28fdaf5fd7d6e0d7d6d487ad28135f08e016074871a565a4217179,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.127557,51.569241,On or near BIRCHDALE GARDENS,E01003662,Redbridge 019B,Investigation complete; no suspect identified
0620ab4c2d00000d0b12e8bfee2d91567ca31cff938b5a2d3a681c0ce6565a84,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.11064,51.571938,On or near DOUGLAS ROAD,E01003771,Redbridge 022C,Investigation complete; no suspect identified
7408a83bc137fc261bf5aa19d621f4dd0c8300d3e23fc418f51abbe5ba37ade7,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.071236,51.563198,On or near GRANVILLE ROAD,E01003781,Redbridge 026A,Investigation complete; no suspect identified
67578b2f866c5fd0758d0a36df076380313e3215c877fb08704bc76187e6e840,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.045127,51.594213,On or near RIVINGTON AVENUE,E01003763,Redbridge 009E,Investigation complete; no suspect identified
eb4d8e64774a3762944522940a371cbbeb3ff6006dd4aafed989713495e782fe,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.071757,51.483207,On or near DE HAVILAND DRIVE,E01001700,Greenwich 011D,Suspect charged
eb4d8e64774a3762944522940a371cbbeb3ff6006dd4aafed989713495e782fe,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.071757,51.483207,On or near DE HAVILAND DRIVE,E01001700,Greenwich 011D,Suspect charged
c000ac6d0c383d520378a80c640e05a243e4d2e1267cbbae1a174f1b8e2a7035,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.002579,51.487134,On or near BANNING STREET,E01001668,Greenwich 036C,Investigation complete; no suspect identified
dfde92cccf59379fe34246113bdbc5ef17d8830b040eebb93814d0f626c7726b,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.049573,51.441043,On or near MIDDLE PARK AVENUE,E01001615,Greenwich 028C,Investigation complete; no suspect identified
88b34031790cbe2264c4d99886d93c310bbebbdf80ae61c69add49fcaf8858c0,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.006226,51.412009,On or near GRASMERE ROAD,E01000674,Bromley 008A,Investigation complete; no suspect identified
90c4a510be2f395adadb5d4fbf122dece4e0611cc43d12c81be6f8c44ac3b67c,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.003555,51.404047,On or near BECKENHAM GROVE,E01000717,Bromley 011D,Investigation complete; no suspect identified
84039b5fd75e60d12c4c3b029514b212aba101ec2b3a088b086a901a78e772ed,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.007002,51.404456,On or near OAKWAY,E01000716,Bromley 011C,Investigation complete; no suspect identified
70b8b1d622b7e6ab5b9c86ef980251ec20a8596c3cfefd705bed8b1f221eaa55,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.074704,51.415849,On or near WALDEGRAVE ROAD,E01000741,Bromley 005B,Investigation complete; no suspect identified
dcb3f882b747906b21e0977a46dbbdc2130196c586e8879d04f6395f69180344,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.049052,51.396809,On or near Petrol Station,E01032568,Bromley 041E,Investigation complete; no suspect identified
c55b48f1bb6fc5d543fa10b1dc5692b1cecd50842cd69a67838b0ada83daa634,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.010884,51.422154,On or near BOYLAND ROAD,E01032562,Bromley 040D,Investigation complete; no suspect identified
5493b0b4ceecf94b727959d5fa2deb4b962924a363758f6ceca3c9670e1e10b6,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.027403,51.395646,On or near FIELDING LANE,E01000671,Bromley 020D,Investigation complete; no suspect identified
459d1f99cc9dbaa50ca7972719853500328a554811a6218566d7b98fc26ccd76,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.036544,51.405234,On or near DURBAN ROAD,E01000703,Bromley 013C,Investigation complete; no suspect identified
adedd2fd8c975f5484aa4f98098536998d950f09f138d8dea37b54c658368b7c,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.062188,51.412549,On or near CORNISH GROVE,E01000800,Bromley 009E,Investigation complete; no suspect identified
57567af7d6e830198e4f84add938aaa8d7210a2c58311d50c10e19780bc8c10a,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.031942,51.395235,On or near NELSON ROAD,E01000679,Bromley 020E,Investigation complete; no suspect identified
42d7a64be2345c9a1809f4db2162d62f443fec87f196d0cf43ffd22a315f1cb4,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.018104,51.448295,On or near PATROL PLACE,E01003324,Lewisham 020E,Investigation complete; no suspect identified
35336c09e6a336407311a73e97f69fd4eda692443548d3353bef0f55267b6b2b,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.044125,51.44054,On or near COLFE ROAD,E01003316,Lewisham 024E,Investigation complete; no suspect identified
15b09407d8dde2835659dc627160216d19a16ea166757df07add67ffd7a9e4d2,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.040002,51.490767,On or near WOODCROFT MEWS,E01003250,Lewisham 001E,Investigation complete; no suspect identified
02e5ad9f503eec2330e695be43b4660cf3cc6483a0c6e12a44ebd0d48160e27c,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.013973,51.449214,On or near JASMINE COURT,E01003285,Lewisham 016C,Investigation complete; no suspect identified
ca7611588dc21f91fa9214ce3383f08fd7985c32be85b69a2e7d1a881a8a547d,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.021722,51.446837,On or near Parking Area,E01003324,Lewisham 020E,Investigation complete; no suspect identified
10b7b7f69fe7aee787411532ef459e308ff14068026b92cd3f820753cb35c07c,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.040002,51.490767,On or near WOODCROFT MEWS,E01003250,Lewisham 001E,Investigation complete; no suspect identified
e6dbe7a6c8e640df58dd2856972505562071b102e0a040347a3eab8a0e0a1e20,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.099483,51.453645,On or near CARVER ROAD,E01004074,Southwark 031D,Investigation complete; no suspect identified
8e15b7f86e94464eee0f8f84f5e7a46af0761c60e6bace3e2538d32135ad287d,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.09569,51.450004,On or near GIANT ARCHES ROAD,E01004074,Southwark 031D,Investigation complete; no suspect identified
db0bf012ba6a40d9adc848a173d82e0bfd08af53deeab39ae61255de10a0fb90,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.074439,51.499107,On or near MILLSTREAM ROAD,E01004027,Southwark 003E,Investigation complete; no suspect identified
