Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3ef2e156eff594d7596f61bb0ba7f263aca4ab0a19bebd7b512f79ef2b2a36a6,2021-07,Metropolitan Police Service,Metropolitan Police Service,0.106612,51.407855,On or near HORSELL ROAD,E01000729,Bromley 014A,Investigation complete; no suspect identified
294cf0ea914a70633ba1f5e2083da3599bdad53ea1af27ffd30796b243bf10fb,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.020835,51.413755,On or near Sports/Recreation Area,E01000712,Bromley 012A,Investigation complete; no suspect identified
71df65ead4e34c373c90be5c3320f3a222ab81e89cbbbfc9cb7c9c82012a4d1d,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.122698,51.363804,On or near HEADLEY AVENUE,E01004082,Sutton 011G,Investigation complete; no suspect identified
6420163c0986baa571d174e925c56fc69fd2662d8b9460d4cdee721fef197a38,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.144356,51.343295,On or near GRASSMOUNT,E01004084,Sutton 024A,Investigation complete; no suspect identified
d2093907f65bb71a6ca63f43f6177edaa379087fc9daa433d8776101e913fcd2,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.109826,51.383363,On or near BISHOP'S ROAD,E01001005,Croydon 019A,Investigation complete; no suspect identified
b2ff726326736a046f4527c6bb2b1c3cb98b3a8d4139d539088c0b06aaaf2080,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.080544,51.413417,On or near BUCKLEIGH WAY,E01001138,Croydon 001B,Investigation complete; no suspect identified
fe9bcc7bda96f3cd277d8e2a9e4206789f0e152fe3da6ff080f201f3aaa129f3,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.130779,51.388654,On or near ROCHFORD WAY,E01001007,Croydon 016B,Investigation complete; no suspect identified
e45ecf6945e59bd025d53c28c1325d8ad1608695b0e40b5014334af9763ec13a,2021-07,Metropolitan Police Service,Metropolitan Police Service,0.044312,51.465002,On or near KELBROOK ROAD,E01001649,Greenwich 022D,Investigation complete; no suspect identified
2f85dd25b62e4e58c6bb8a1b963ffadb96bc460d51697b32ebd10c8daa2d8b48,2021-07,Metropolitan Police Service,Metropolitan Police Service,0.079943,51.487757,On or near ANN STREET,E01001634,Greenwich 009C,Investigation complete; no suspect identified
e186c7eaedd45cafe7f99bc07e2c586a00b7e664577ec7c3e101d9ec351a8f78,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.013601,51.379919,On or near Parking Area,E01000832,Bromley 030A,Investigation complete; no suspect identified
062f187b973e72d9d4529762ce7cf2ec793a508b3fb367fad76f348210b3e75a,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.08771,51.485997,On or near VILLA STREET,E01003974,Southwark 015E,Investigation complete; no suspect identified
b67ab58955dbf2a1d6a4192e8e39d272e38f7ebd662686fa86fbe4c68e279cc0,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.060519,51.49779,On or near SOUTHWARK PARK ROAD,E01004024,Southwark 011C,Investigation complete; no suspect identified
985cd960da340a4ad2ff70c67b9abc1c81f30eee53be5fb355138ed5852655c7,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.089824,51.462975,On or near BLANCHEDOWNE,E01004047,Southwark 027B,Investigation complete; no suspect identified
5b7d8c4bffec1056dbfbabc884933fc6d7c77c18d65f771ab8fcd012f3785ef0,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.130642,51.577963,On or near COOLHURST ROAD,E01001985,Haringey 033B,Investigation complete; no suspect identified
f319495f578dc671ad2f8285d6fd364a98a9ff464b3a7cf97bfe8dac54b31350,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.131613,51.575407,On or near AVENUE ROAD,E01001985,Haringey 033B,Investigation complete; no suspect identified
b6eaa11594bffea1c64a55ce4b696d332f930368d1cdd43c8759db01cd917988,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.091644,51.575924,On or near HERMITAGE ROAD,E01002057,Haringey 032D,Investigation complete; no suspect identified
766b286de6e008b321c13a832120d4103fc7b57d859d8f5da4d3fb763f45a8c6,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.04122,51.408864,On or near BECKENHAM ROAD,E01000703,Bromley 013C,Investigation complete; no suspect identified
29d96af00c894de765168492b2132d267170d6ae5a7250785bc3c0b61dd75067,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.142555,51.547354,On or near ANGLERS LANE,E01000927,Camden 007F,Investigation complete; no suspect identified
ec4d9cc3b61fbc683a03327477ab1a88736c455f4d9843711c9524ba1aaf9322,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.133386,51.542694,On or near AGAR GROVE,E01000957,Camden 019C,Investigation complete; no suspect identified
88ae81bc871efdbd766a8585994d1c13363990903245cde4531062858aa22f39,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.111492,51.531606,On or near PENTONVILLE ROAD,E01002695,Islington 021A,Investigation complete; no suspect identified
